mode,xpos,ypos,zpos
1,0,-1.2,1.3
1,-0.371,-1.141,1.3
1,-0.705,-0.971,1.3
1,-0.971,-0.705,1.3
1,-1.141,-0.371,1.3
1,-1.2,0,1.3
1,-1.141,0.371,1.3
1,-0.971,0.705,1.3
1,-0.705,0.971,1.3
1,-0.371,1.141,1.3
1,0,1.2,1.3
1,0,1.2,1.3
1,0.371,1.141,1.3
1,0.705,0.971,1.3
1,0.971,0.705,1.3
1,1.141,0.371,1.3
1,1.2,0,1.3
1,1.141,-0.371,1.3
1,0.971,-0.705,1.3
1,0.705,-0.971,1.3
1,0.371,-1.141,1.3
